gene,log2FC,t_stat,p_value,p_adjusted
AGXT,-0.46166247414546846,-4.482818417569142,9.946623585137841e-06,0.009946623585137841
LOC29034,-0.4611484734927591,-4.477546155166468,1.0181903624941691e-05,0.010181903624941691
MYB,0.4610000384832763,4.476023797172653,1.0250827512510238e-05,0.010250827512510238
CPB2,-0.46087325185063,-4.4747235289113245,1.0310050507134399e-05,0.010310050507134398
PBLD,-0.46072156379423007,-4.473167964462528,1.0381332553169177e-05,0.010381332553169177
CCNJL,0.4601485066256097,4.467292015733985,1.0654879709046284e-05,0.010654879709046284
SPOCD1,0.46012164965873154,4.46701666427733,1.0667866406479787e-05,0.010667866406479787
E2F7,0.4596902491829956,4.462594079627387,1.0878544748330291e-05,0.010878544748330292
IER3,0.4582660365356452,4.447998427452872,1.1602514041565031e-05,0.01160251404156503
GNAZ,0.4579018305359284,4.4442671702314875,1.1794874632633325e-05,0.011794874632633325
C8B,-0.45712420461833536,-4.436302133563468,1.221578140821918e-05,0.01221578140821918
SHOX2,0.4567483916322335,4.432453580432141,1.242427727264402e-05,0.01242427727264402
RDM1,0.45660832652039685,4.431019358047031,1.250284521710072e-05,0.012502845217100721
SLC17A2,-0.45629433979459477,-4.427804498217068,1.2680691358782164e-05,0.012680691358782165
AP1M2,0.4562293390702519,4.427139005136284,1.2717808069437361e-05,0.012717808069437361
GAGE2B,0.4561398639780805,4.4262229798362736,1.2769068068987698e-05,0.012769068068987697
FXYD3,0.4561054249099292,4.425870403528379,1.2788850653136867e-05,0.012788850653136867
CD300LG,-0.45587349003342736,-4.42349606614897,1.2922838309204366e-05,0.012922838309204366
SCN4A,-0.45511139384337324,-4.415695818099447,1.337255088365375e-05,0.013372550883653751
SLC6A1,-0.45508243246421554,-4.415399424488342,1.3389931327034629e-05,0.01338993132703463
NRSN2,0.4543306932132607,4.407707355370487,1.3848635148409143e-05,0.013848635148409142
SLC25A24,0.45316866342452067,4.395821140103594,1.458717284827403e-05,0.01458717284827403
FAM27C,0.45291236835198634,4.3932002076904295,1.4755023173049464e-05,0.014755023173049464
CPS1,-0.4528904870352639,-4.39297644228491,1.4769438981631218e-05,0.014769438981631218
RTL1,0.4516162362068193,4.3799493550146895,1.563233876525391e-05,0.015632338765253908
C12orf56,0.45089887024749487,4.3726180814776985,1.6138964538848016e-05,0.016138964538848017
TTC39A,0.4505555756092652,4.369110378813758,1.6386886317625784e-05,0.016386886317625783
FAM64A,0.4505027277463931,4.368570433280377,1.6425371523246225e-05,0.016425371523246225
HPX,-0.4504668299482555,-4.368203667714617,1.6451562459904927e-05,0.016451562459904926
SHMT1,-0.4504458215666707,-4.367989041163422,1.6466907597662676e-05,0.016466907597662676
MGC12982,0.4501860126217781,4.365334764597677,1.665781609292255e-05,0.01665781609292255
TM6SF2,-0.4500917481946054,-4.3643717878642,1.672760029801995e-05,0.016727600298019948
PIF1,0.45004163967550803,4.363859917561465,1.676480789115474e-05,0.01676480789115474
ELFN1,-0.4498237922265198,-4.3616346252744,1.6927485893678702e-05,0.016927485893678703
PIPOX,-0.4497612506728788,-4.360995809914703,1.6974464297316763e-05,0.016974464297316763
ADHFE1,-0.44937395779630196,-4.35704018323205,1.726815067476679e-05,0.01726815067476679
GAGE8,0.449337926505489,4.356672206534491,1.7295717033957796e-05,0.017295717033957797
ACOX2,-0.4492810950469996,-4.356091806624519,1.7339282329040085e-05,0.017339282329040084
FIBCD1,0.4490472791857793,4.353704056439843,1.751961589436314e-05,0.01751961589436314
CCDC112,0.44889416191139353,4.352140530044256,1.7638671192820022e-05,0.017638671192820022
CLEC5A,0.44880760252176666,4.351256670256309,1.7706315104424845e-05,0.017706315104424844
GAGE2A,0.44832273300352965,4.346306199537682,1.808979861588159e-05,0.018089798615881593
GNMT,-0.4473179339949364,-4.336050015722482,1.8909721288467028e-05,0.01890972128846703
ADRA1A,-0.4469585377252349,-4.33238247550453,1.9211456961842978e-05,0.01921145696184298
BAAT,-0.4467925034698688,-4.330688306213284,1.9352389383628602e-05,0.019352389383628602
CYP27A1,-0.44670672270966216,-4.3298130622007625,1.9425584909036212e-05,0.01942558490903621
IGF1,-0.4466909198116734,-4.329651814096915,1.9439098730730858e-05,0.019439098730730856
SOX4,0.4465984692404662,4.32870854990961,1.9518331782448515e-05,0.019518331782448516
CECR7,0.4461355980700332,4.323986358824864,1.9919655771799358e-05,0.01991965577179936
GLDN,0.44563885130907976,4.318919430164308,2.035905012292001e-05,0.02035905012292001
ASPM,0.44541667298313947,4.31665346222405,2.0558535684901648e-05,0.02055853568490165
UPB1,-0.4444602193015028,-4.306900678988852,2.1438659321651092e-05,0.021438659321651093
MAGEA2,0.44403512418036084,4.302567114722362,2.1841189540642584e-05,0.021841189540642583
PLGLA,-0.4437967032133396,-4.30013686551768,2.20700784810159e-05,0.0220700784810159
CYP3A5,-0.44360113230950415,-4.298143537306718,2.225952646621585e-05,0.02225952646621585
E2F1,0.4429706975929572,4.291718854100764,2.288077024686388e-05,0.02288077024686388
